asin,title,brand,category,seller,price,rating,reviews,sales,is_prime
B0A001,Wireless Earbuds Bluetooth 5.3,SoundMax,Electronics,Amazon,39.99,4.4,1280,900,Yes
B0A002,Stainless Steel Water Bottle 32oz,HydroPeak,Home & Kitchen,HydroPeak Store,24.50,4.7,860,500,Yes
B0A003,Mechanical Gaming Keyboard RGB,KeyNova,Electronics,KeyNova Direct,79.99,4.2,430,260,No
B0A004,Organic Matcha Powder 100g,GreenLeaf,Grocery,GreenLeaf Shop,18.90,4.8,2140,1200,Yes
B0A005,Adjustable Laptop Stand,OfficeCore,Office Products,Amazon,29.99,4.5,980,740,Yes
B0A006,Pet Grooming Vacuum Kit,PawCare,Pet Supplies,PawCare Official,119.00,4.1,210,150,No
B0A007,Portable Espresso Maker,BeanRush,Home & Kitchen,BeanRush,59.99,4.6,670,340,Yes
B0A008,Mini Projector Full HD,VisionLite,Electronics,VisionLite Mall,189.99,3.9,190,110,Yes
B0A009,Resistance Bands Set,FitCraft,Sports & Outdoors,FitCraft,16.99,4.7,1560,1300,Yes
B0A010,Kids Art Supplies Kit,ColorJoy,Toys & Games,ColorJoy Store,27.80,4.3,520,380,No
